J,Connector,Type,Connector_Pin,Signal,Pi_BCM,Pi_Physical_Pin,LCSC_PN,Mfr,Mfr_PN,Part_Notes,Notes
J13,I2C_PORT_B,JST-GH 4-pin,3,SDA (I2C1),BCM2,3.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J13,I2C_PORT_B,JST-GH 4-pin,4,SCL (I2C1),BCM3,5.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J16,I2C_PORT_C,JST-GH 4-pin,1,SENS_3V3_SW,,1.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",Switched sensor rail. Default state selectable (jumper) + software control. I2C3 bus (separate from I2C1).
J16,I2C_PORT_C,JST-GH 4-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J16,I2C_PORT_C,JST-GH 4-pin,3,SDA (I2C3),BCM4,7.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",I2C3 data line. Requires dtoverlay=i2c3,pins_4_5 in /boot/config.txt.
J16,I2C_PORT_C,JST-GH 4-pin,4,SCL (I2C3),BCM5,29.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",I2C3 clock line. Requires dtoverlay=i2c3,pins_4_5 in /boot/config.txt.
J14,UART0,JST-GH 3-pin,1,GND,,,C161691,JST,BM03B-GHS-TBT(LF)(SN),"Use for 3-wire connectors (e.g., GND + 2 signals).",
J14,UART0,JST-GH 3-pin,2,TXD (Pi → device),BCM14,8.0,C161691,JST,BM03B-GHS-TBT(LF)(SN),"Use for 3-wire connectors (e.g., GND + 2 signals).",
J14,UART0,JST-GH 3-pin,3,RXD (device → Pi),BCM15,10.0,C161691,JST,BM03B-GHS-TBT(LF)(SN),"Use for 3-wire connectors (e.g., GND + 2 signals).",
J15,SPI0,JST-GH 6-pin,1,SENS_3V3_SW,,1.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J15,SPI0,JST-GH 6-pin,2,GND,,,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J15,SPI0,JST-GH 6-pin,3,SCLK,BCM11,23.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J15,SPI0,JST-GH 6-pin,4,MOSI,BCM10,19.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J15,SPI0,JST-GH 6-pin,5,MISO,BCM9,21.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
J15,SPI0,JST-GH 6-pin,6,CS0,BCM8,24.0,C22436166,Hong Cheng,HC-PM254-8.5H-2x20PS,"2.54mm pitch, dual-row, SMD receptacle/socket; use as Pi HAT mate connector (SMT on bottom per your spec).",
INT1,SENSOR_SWITCH,INTERNAL_NET,EN,SENS_EN,BCM26,37.0,,,,Controls SY6280AAC EN. Default OFF via 100k pulldown; drive HIGH to enable SENS_3V3_SW.,Internal net: Pi GPIO26 (phys 37) -> load switch EN.

